,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
0,2019-10-01,2.0,Ethiopia,Somali,Afder
246,2019-10-01,1.0,Ethiopia,Gambela,Agnewak
2,2019-10-01,2.0,Ethiopia,SNNP,Alle
3,2019-10-01,2.0,Ethiopia,SNNP,Amaro
248,2019-10-01,1.0,Ethiopia,Oromia,Arsi
249,2019-10-01,1.0,Ethiopia,Benishangul Gumz,Asosa
76,2019-10-01,3.0,Ethiopia,Oromia,Bale
7,2019-10-01,2.0,Ethiopia,Oromia,Borena
255,2019-10-01,1.0,Ethiopia,Oromia,Buno Bedele
9,2019-10-01,2.0,Ethiopia,SNNP,Burji
257,2019-10-01,1.0,Ethiopia,Tigray,Central
258,2019-10-01,1.0,Ethiopia,Amhara,Central Gondar
79,2019-10-01,3.0,Ethiopia,Somali,Daawa
259,2019-10-01,1.0,Ethiopia,SNNP,Dawuro
14,2019-10-01,2.0,Ethiopia,SNNP,Derashe
15,2019-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
262,2019-10-01,1.0,Ethiopia,Dire Dawa,Dire Dawa urban
17,2019-10-01,2.0,Ethiopia,Somali,Doolo
263,2019-10-01,1.0,Ethiopia,Amhara,East Gojam
81,2019-10-01,3.0,Ethiopia,Oromia,East Hararge
265,2019-10-01,1.0,Ethiopia,Oromia,East Shewa
266,2019-10-01,1.0,Ethiopia,Oromia,East Wellega
22,2019-10-01,2.0,Ethiopia,Tigray,Eastern
84,2019-10-01,3.0,Ethiopia,Somali,Erer
24,2019-10-01,2.0,Ethiopia,Somali,Fafan
271,2019-10-01,1.0,Ethiopia,SNNP,Gamo
26,2019-10-01,2.0,Ethiopia,SNNP,Gedeo
273,2019-10-01,1.0,Ethiopia,SNNP,Gofa
88,2019-10-01,3.0,Ethiopia,Oromia,Guji
275,2019-10-01,1.0,Ethiopia,SNNP,Guraghe
276,2019-10-01,1.0,Ethiopia,SNNP,Hadiya
31,2019-10-01,2.0,Ethiopia,SNNP,Halaba Special
32,2019-10-01,2.0,Ethiopia,Harari,Harari
33,2019-10-01,2.0,Ethiopia,Somali,Jarar
282,2019-10-01,1.0,Ethiopia,Oromia,Jimma
285,2019-10-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
36,2019-10-01,2.0,Ethiopia,SNNP,Kembata Tibaro
37,2019-10-01,2.0,Ethiopia,SNNP,Konso
38,2019-10-01,2.0,Ethiopia,Somali,Korahe
92,2019-10-01,3.0,Ethiopia,Somali,Liban
291,2019-10-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
294,2019-10-01,1.0,Ethiopia,Benishangul Gumz,Metekel
295,2019-10-01,1.0,Ethiopia,SNNP,Mirab Omo
94,2019-10-01,3.0,Ethiopia,Somali,Nogob
296,2019-10-01,1.0,Ethiopia,Amhara,North Gondar
297,2019-10-01,1.0,Ethiopia,Amhara,North Shewa
298,2019-10-01,1.0,Ethiopia,Oromia,North Shewa
299,2019-10-01,1.0,Ethiopia,Amhara,North Wello
300,2019-10-01,1.0,Ethiopia,Tigray,North Western
302,2019-10-01,1.0,Ethiopia,Amhara,Oromia
50,2019-10-01,2.0,Ethiopia,Somali,Shabelle
306,2019-10-01,1.0,Ethiopia,SNNP,Sidama
307,2019-10-01,1.0,Ethiopia,SNNP,Siltie
53,2019-10-01,2.0,Ethiopia,Somali,Siti
309,2019-10-01,1.0,Ethiopia,Tigray,South Eastern
55,2019-10-01,2.0,Ethiopia,Amhara,South Gondar
56,2019-10-01,2.0,Ethiopia,SNNP,South Omo
312,2019-10-01,1.0,Ethiopia,Amhara,South Wello
313,2019-10-01,1.0,Ethiopia,Oromia,South West Shewa
59,2019-10-01,2.0,Ethiopia,Tigray,Southern
60,2019-10-01,2.0,Ethiopia,Amhara,Wag Hamra
316,2019-10-01,1.0,Ethiopia,Oromia,West Arsi
62,2019-10-01,2.0,Ethiopia,Oromia,West Guji
63,2019-10-01,2.0,Ethiopia,Oromia,West Hararge
322,2019-10-01,1.0,Ethiopia,Oromia,West Wellega
323,2019-10-01,1.0,Ethiopia,Tigray,Western
324,2019-10-01,1.0,Ethiopia,SNNP,Wolayita
67,2019-10-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
104,2019-10-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
69,2019-10-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
106,2019-10-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
71,2019-10-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
252,2019-10-01,1.0,Ethiopia,SNNP,Basketo
253,2019-10-01,1.0,Ethiopia,SNNP,Bench Maji
268,2019-10-01,1.0,Ethiopia,Gambela,Etang Special woreda
283,2019-10-01,1.0,Ethiopia,SNNP,Kefa
288,2019-10-01,1.0,Ethiopia,SNNP,Konta Special
292,2019-10-01,1.0,Ethiopia,Gambela,Mejenger
301,2019-10-01,1.0,Ethiopia,Gambela,Nuwer
318,2019-10-01,1.0,Ethiopia,Amhara,West Gondar
325,2019-10-01,1.0,Ethiopia,SNNP,Yem Special
293,2019-10-01,1.0,Ethiopia,Tigray,Mekele Special
250,2019-10-01,1.0,Ethiopia,Amhara,Awi
270,2019-10-01,1.0,Ethiopia,Oromia,Finfine Special
279,2019-10-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
280,2019-10-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
284,2019-10-01,1.0,Ethiopia,Oromia,Kelem Wellega
303,2019-10-01,1.0,Ethiopia,Addis Ababa,Region 14
305,2019-10-01,1.0,Ethiopia,SNNP,Sheka
317,2019-10-01,1.0,Ethiopia,Amhara,West Gojam
321,2019-10-01,1.0,Ethiopia,Oromia,West Shewa
181,2020-08-01,3.0,Ethiopia,Somali,Afder
108,2020-08-01,2.0,Ethiopia,Gambela,Agnewak
109,2020-08-01,2.0,Ethiopia,SNNP,Alle
183,2020-08-01,3.0,Ethiopia,SNNP,Amaro
334,2020-08-01,1.0,Ethiopia,Oromia,Arsi
335,2020-08-01,1.0,Ethiopia,Benishangul Gumz,Asosa
186,2020-08-01,3.0,Ethiopia,Oromia,Bale
187,2020-08-01,3.0,Ethiopia,Oromia,Borena
341,2020-08-01,1.0,Ethiopia,Oromia,Buno Bedele
188,2020-08-01,3.0,Ethiopia,SNNP,Burji
435,2020-08-01,2.0,Ethiopia,Tigray,Central
344,2020-08-01,1.0,Ethiopia,Amhara,Central Gondar
191,2020-08-01,3.0,Ethiopia,Somali,Daawa
345,2020-08-01,1.0,Ethiopia,SNNP,Dawuro
122,2020-08-01,2.0,Ethiopia,SNNP,Derashe
437,2020-08-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
347,2020-08-01,1.0,Ethiopia,Dire Dawa,Dire Dawa urban
195,2020-08-01,3.0,Ethiopia,Somali,Doolo
348,2020-08-01,1.0,Ethiopia,Amhara,East Gojam
441,2020-08-01,2.0,Ethiopia,Oromia,East Hararge
198,2020-08-01,3.0,Ethiopia,Oromia,East Shewa
351,2020-08-01,1.0,Ethiopia,Oromia,East Wellega
199,2020-08-01,3.0,Ethiopia,Tigray,Eastern
129,2020-08-01,2.0,Ethiopia,Somali,Erer
131,2020-08-01,2.0,Ethiopia,Somali,Fafan
132,2020-08-01,2.0,Ethiopia,SNNP,Gamo
446,2020-08-01,2.0,Ethiopia,SNNP,Gedeo
358,2020-08-01,1.0,Ethiopia,SNNP,Gofa
204,2020-08-01,3.0,Ethiopia,Oromia,Guji
360,2020-08-01,1.0,Ethiopia,SNNP,Guraghe
136,2020-08-01,2.0,Ethiopia,SNNP,Hadiya
207,2020-08-01,3.0,Ethiopia,SNNP,Halaba Special
208,2020-08-01,3.0,Ethiopia,Harari,Harari
209,2020-08-01,3.0,Ethiopia,Somali,Jarar
367,2020-08-01,1.0,Ethiopia,Oromia,Jimma
370,2020-08-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
476,2020-08-01,1.0,Ethiopia,SNNP,Kembata Tibaro
144,2020-08-01,2.0,Ethiopia,SNNP,Konso
212,2020-08-01,3.0,Ethiopia,Somali,Korahe
213,2020-08-01,3.0,Ethiopia,Somali,Liban
375,2020-08-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
378,2020-08-01,1.0,Ethiopia,Benishangul Gumz,Metekel
379,2020-08-01,1.0,Ethiopia,SNNP,Mirab Omo
218,2020-08-01,3.0,Ethiopia,Somali,Nogob
219,2020-08-01,3.0,Ethiopia,Amhara,North Gondar
152,2020-08-01,2.0,Ethiopia,Amhara,North Shewa
382,2020-08-01,1.0,Ethiopia,Oromia,North Shewa
452,2020-08-01,2.0,Ethiopia,Amhara,North Wello
384,2020-08-01,1.0,Ethiopia,Tigray,North Western
224,2020-08-01,3.0,Ethiopia,Amhara,Oromia
225,2020-08-01,3.0,Ethiopia,Somali,Shabelle
390,2020-08-01,1.0,Ethiopia,SNNP,Sidama
160,2020-08-01,2.0,Ethiopia,SNNP,Siltie
228,2020-08-01,3.0,Ethiopia,Somali,Siti
456,2020-08-01,2.0,Ethiopia,Tigray,South Eastern
394,2020-08-01,1.0,Ethiopia,Amhara,South Gondar
164,2020-08-01,2.0,Ethiopia,SNNP,South Omo
165,2020-08-01,2.0,Ethiopia,Amhara,South Wello
397,2020-08-01,1.0,Ethiopia,Oromia,South West Shewa
460,2020-08-01,2.0,Ethiopia,Tigray,Southern
423,2020-08-01,3.0,Ethiopia,Amhara,Wag Hamra
400,2020-08-01,1.0,Ethiopia,Oromia,West Arsi
463,2020-08-01,2.0,Ethiopia,Oromia,West Guji
239,2020-08-01,3.0,Ethiopia,Oromia,West Hararge
406,2020-08-01,1.0,Ethiopia,Oromia,West Wellega
407,2020-08-01,1.0,Ethiopia,Tigray,Western
175,2020-08-01,2.0,Ethiopia,SNNP,Wolayita
241,2020-08-01,3.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
242,2020-08-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
243,2020-08-01,3.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
244,2020-08-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
180,2020-08-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
338,2020-08-01,1.0,Ethiopia,SNNP,Basketo
339,2020-08-01,1.0,Ethiopia,SNNP,Bench Maji
353,2020-08-01,1.0,Ethiopia,Gambela,Etang Special woreda
368,2020-08-01,1.0,Ethiopia,SNNP,Kefa
373,2020-08-01,1.0,Ethiopia,SNNP,Konta Special
376,2020-08-01,1.0,Ethiopia,Gambela,Mejenger
385,2020-08-01,1.0,Ethiopia,Gambela,Nuwer
402,2020-08-01,1.0,Ethiopia,Amhara,West Gondar
409,2020-08-01,1.0,Ethiopia,SNNP,Yem Special
377,2020-08-01,1.0,Ethiopia,Tigray,Mekele Special
336,2020-08-01,1.0,Ethiopia,Amhara,Awi
355,2020-08-01,1.0,Ethiopia,Oromia,Finfine Special
364,2020-08-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
365,2020-08-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
369,2020-08-01,1.0,Ethiopia,Oromia,Kelem Wellega
387,2020-08-01,1.0,Ethiopia,Addis Ababa,Region 14
389,2020-08-01,1.0,Ethiopia,SNNP,Sheka
401,2020-08-01,1.0,Ethiopia,Amhara,West Gojam
405,2020-08-01,1.0,Ethiopia,Oromia,West Shewa
