,date,admin0Name,admin1Name,admin2Name,ML2
0,2014-06-06,Somalia,Banadir,Banadir,2.0
60,2014-06-06,Somalia,Awdal,Borama,3.0
2,2014-06-06,Somalia,Awdal,Baki,2.0
62,2014-06-06,Somalia,Awdal,Lughaye,3.0
63,2014-06-06,Somalia,Awdal,Zeylac,3.0
64,2014-06-06,Somalia,Woqooyi Galbeed,Hargeysa,3.0
6,2014-06-06,Somalia,Woqooyi Galbeed,Berbera,2.0
7,2014-06-06,Somalia,Woqooyi Galbeed,Gebiley,2.0
67,2014-06-06,Somalia,Togdheer,Burco,3.0
69,2014-06-06,Somalia,Togdheer,Owdweyne,3.0
10,2014-06-06,Somalia,Togdheer,Sheikh,2.0
71,2014-06-06,Somalia,Sool,Caynabo,3.0
75,2014-06-06,Somalia,Sanaag,Ceel Afweyn,3.0
77,2014-06-06,Somalia,Bari,Bossaso,3.0
14,2014-06-06,Somalia,Bari,Bandarbeyla,2.0
15,2014-06-06,Somalia,Bari,Iskushuban,2.0
80,2014-06-06,Somalia,Bari,Qandala,3.0
81,2014-06-06,Somalia,Bari,Qardho,3.0
84,2014-06-06,Somalia,Nugaal,Eyl,3.0
85,2014-06-06,Somalia,Mudug,Gaalkacyo,3.0
87,2014-06-06,Somalia,Mudug,Hobyo,3.0
21,2014-06-06,Somalia,Mudug,Jariiban,2.0
22,2014-06-06,Somalia,Mudug,Xarardheere,2.0
89,2014-06-06,Somalia,Galgaduud,Dhuusamarreeb,3.0
92,2014-06-06,Somalia,Galgaduud,Ceel Buur,3.0
25,2014-06-06,Somalia,Galgaduud,Ceel Dheer,2.0
93,2014-06-06,Somalia,Hiraan,Belet Weyne,3.0
127,2014-06-06,Somalia,Hiraan,Bulo Burto,1.0
128,2014-06-06,Somalia,Hiraan,Jalalaqsi,1.0
29,2014-06-06,Somalia,Middle Shabelle,Jowhar,2.0
130,2014-06-06,Somalia,Middle Shabelle,Adan Yabaal,1.0
31,2014-06-06,Somalia,Middle Shabelle,Balcad,2.0
132,2014-06-06,Somalia,Middle Shabelle,Cadale,1.0
98,2014-06-06,Somalia,Lower Shabelle,Marka,3.0
34,2014-06-06,Somalia,Lower Shabelle,Afgooye,2.0
136,2014-06-06,Somalia,Lower Shabelle,Qoryooley,1.0
137,2014-06-06,Somalia,Lower Shabelle,Sablaale,1.0
138,2014-06-06,Somalia,Lower Shabelle,Wanla Weyn,1.0
105,2014-06-06,Somalia,Bay,Baydhaba,3.0
39,2014-06-06,Somalia,Bay,Buur Hakaba,2.0
40,2014-06-06,Somalia,Bay,Diinsoor,2.0
41,2014-06-06,Somalia,Bay,Qansax Dheere,2.0
42,2014-06-06,Somalia,Bakool,Xudur,2.0
141,2014-06-06,Somalia,Bakool,Ceel Barde,1.0
111,2014-06-06,Somalia,Bakool,Tayeeglow,3.0
112,2014-06-06,Somalia,Bakool,Waajid,3.0
46,2014-06-06,Somalia,Bakool,Rab Dhuure,2.0
47,2014-06-06,Somalia,Gedo,Garbahaarey,2.0
48,2014-06-06,Somalia,Gedo,Baardheere,2.0
49,2014-06-06,Somalia,Gedo,Belet Xaawo,2.0
50,2014-06-06,Somalia,Gedo,Ceel Waaq,2.0
51,2014-06-06,Somalia,Gedo,Doolow,2.0
52,2014-06-06,Somalia,Gedo,Luuq,2.0
146,2014-06-06,Somalia,Middle Juba,Bu'aale,1.0
54,2014-06-06,Somalia,Middle Juba,Jilib,2.0
148,2014-06-06,Somalia,Middle Juba,Saakow,1.0
149,2014-06-06,Somalia,Lower Juba,Kismaayo,1.0
150,2014-06-06,Somalia,Lower Juba,Afmadow,1.0
151,2014-06-06,Somalia,Lower Juba,Badhaadhe,1.0
122,2014-06-06,Somalia,Lower Juba,Jamaame,3.0
68,2014-06-06,Somalia,Togdheer,Buuhoodle,3.0
70,2014-06-06,Somalia,Sool,Laas Caanood,3.0
72,2014-06-06,Somalia,Sool,Taleex,3.0
73,2014-06-06,Somalia,Sool,Xudun,3.0
74,2014-06-06,Somalia,Sanaag,Ceerigaabo,3.0
76,2014-06-06,Somalia,Sanaag,Laasqoray,3.0
78,2014-06-06,Somalia,Bari,Caluula,3.0
82,2014-06-06,Somalia,Nugaal,Garoowe,3.0
83,2014-06-06,Somalia,Nugaal,Burtinle,3.0
86,2014-06-06,Somalia,Mudug,Galdogob,3.0
90,2014-06-06,Somalia,Galgaduud,Cabudwaaq,3.0
91,2014-06-06,Somalia,Galgaduud,Cadaado,3.0
134,2014-06-06,Somalia,Lower Shabelle,Baraawe,1.0
135,2014-06-06,Somalia,Lower Shabelle,Kurtunwaarey,1.0
